content,user,replyCount,retweetCount,likeCount,quoteCount,lang,hashtags
"TIME Says These 3 Vegan Meat Inventions Are the Best of 2022
Source: @VegNews 
#food #plantbased #protein #meat #eggs #vegan #veganism #vegetarian #shrimp #chicken #beef #pork #tuna #life #health #MeetTheMeatless #sustainability #startups #organic 

https://t.co/sZSVI2mI1x","{'username': 'MeetTheMeatless', 'id': 1438029196144492544, 'displayname': 'MeetTheMeatless', 'description': 'The new sustainable ""meat"" products! Conscious living for a better tomorrow! Follow for regular updates from ""Meet the meatless.""\nbit.ly/2XHlzNB', 'rawDescription': 'The new sustainable ""meat"" products! Conscious living for a better tomorrow! Follow for regular updates from ""Meet the meatless.""\nhttps://t.co/9Wy1CaH8uG', 'descriptionUrls': [{'text': 'bit.ly/2XHlzNB', 'url': 'https://bit.ly/2XHlzNB', 'tcourl': 'https://t.co/9Wy1CaH8uG', 'indices': (130, 153)}], 'verified': False, 'created': datetime.datetime(2021, 9, 15, 6, 37, 39, tzinfo=datetime.timezone.utc), 'followersCount': 31, 'friendsCount': 770, 'statusesCount': 1048, 'favouritesCount': 13, 'listedCount': 1, 'mediaCount': 24, 'location': 'India', 'protected': False, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1438029282752675842/pDoTPvMr_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/1438029196144492544/1633322722', 'label': None}",0,0,0,0,en,"['food', 'plantbased', 'protein', 'meat', 'eggs', 'vegan', 'veganism', 'vegetarian', 'shrimp', 'chicken', 'beef', 'pork', 'tuna', 'life', 'health', 'MeetTheMeatless', 'sustainability', 'startups', 'organic']"
Most delicious meal I’ve eaten in 14 years 🤤 Looked about the same after I went to the bathroom this morning. #food #recipe #yum #beef #cooking #sausage #eggs #meatwater https://t.co/zZhPsgiaQD,"{'username': 'berthabagels', 'id': 1592064992064712704, 'displayname': 'Brittany Johnson', 'description': 'Mom of 4 🏠 Loves Fishing And Jesus ✝️ Spread Positivity like butter 🧈', 'rawDescription': 'Mom of 4 🏠 Loves Fishing And Jesus ✝️ Spread Positivity like butter 🧈', 'descriptionUrls': None, 'verified': False, 'created': datetime.datetime(2022, 11, 14, 8, 0, 57, tzinfo=datetime.timezone.utc), 'followersCount': 0, 'friendsCount': 0, 'statusesCount': 1, 'favouritesCount': 0, 'listedCount': 0, 'mediaCount': 1, 'location': '', 'protected': False, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1592065524074414081/4gTGBBXT_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/1592064992064712704/1668413134', 'label': None}",0,0,0,0,en,"['food', 'recipe', 'yum', 'beef', 'cooking', 'sausage', 'eggs', 'meatwater']"
"Ghee rice recipe is a tasty staple dish🤩 you can try it with multiple side dishes. But do you know how to make the recipe the tastiest and the most flavorsome? Read the blog: https://t.co/eSzSHXKmnU.
#gheerice #healthyrecipe #gheenutrition #fitness #lifestyle #health #food #cook https://t.co/y0iJzG6elP","{'username': 'MilkioFoods', 'id': 784175512075636737, 'displayname': 'MilkioFoods', 'description': 'Welcome to Milkio Foods the clean and green country of the world with deep dairy expertise in producing ethically & sustainably raised grass-fed ghee products.', 'rawDescription': 'Welcome to Milkio Foods the clean and green country of the world with deep dairy expertise in producing ethically & sustainably raised grass-fed ghee products.', 'descriptionUrls': None, 'verified': False, 'created': datetime.datetime(2016, 10, 6, 23, 36, 26, tzinfo=datetime.timezone.utc), 'followersCount': 164, 'friendsCount': 180, 'statusesCount': 1304, 'favouritesCount': 76, 'listedCount': 1, 'mediaCount': 739, 'location': 'Hamilton, New Zealand', 'protected': False, 'linkUrl': 'http://milkio.co.nz/', 'linkTcourl': 'https://t.co/BUipPlle1n', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1106492316838068224/G9GpiVbM_normal.png', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/784175512075636737/1643624123', 'label': None}",0,0,0,0,en,"['gheerice', 'healthyrecipe', 'gheenutrition', 'fitness', 'lifestyle', 'health', 'food', 'cook']"
"16 November | Empowering consumers to make healthy #food choices

Join this EURACTIV event about the importance of a balanced approach in assessing the nutritional #benefits of beverages and food products.

Register here: https://t.co/sSBlBy2PCV
More info: https://t.co/hRQ7B0lOy9 https://t.co/DphBiqo0O6","{'username': 'eaAgriFood', 'id': 2219874457, 'displayname': 'EURACTIV Agri & Food', 'description': 'EU Agrifood policy & news, coordinateby @EURACTIV.\n\nSign up for our weekly newsletter: eurac.tv/9Rfo\n\nMastodon: eupolicy.social/web/@euractiv_…', 'rawDescription': 'EU Agrifood policy & news, coordinateby @EURACTIV.\n\nSign up for our weekly newsletter: https://t.co/O2QjTYJdHm\n\nMastodon: https://t.co/UIfEqQSmRI', 'descriptionUrls': [{'text': 'eurac.tv/9Rfo', 'url': 'http://eurac.tv/9Rfo', 'tcourl': 'https://t.co/O2QjTYJdHm', 'indices': (87, 110)}, {'text': 'eupolicy.social/web/@euractiv_…', 'url': 'https://eupolicy.social/web/@euractiv_agri', 'tcourl': 'https://t.co/UIfEqQSmRI', 'indices': (122, 145)}], 'verified': True, 'created': datetime.datetime(2013, 11, 28, 14, 51, 30, tzinfo=datetime.timezone.utc), 'followersCount': 6807, 'friendsCount': 339, 'statusesCount': 8087, 'favouritesCount': 3034, 'listedCount': 185, 'mediaCount': 2398, 'location': 'Brussels, Belgium', 'protected': False, 'linkUrl': 'http://eurac.tv/agri', 'linkTcourl': 'https://t.co/iDR6PoT99j', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/823591724404576260/o7E-eSKg_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/2219874457/1621518332', 'label': None}",0,0,0,0,en,"['food', 'benefits']"
#love #school #fashion #photooftheday #beautiful #art #lightworkers #college #starseeds #goodvibes #startrek #lightwork #starwars #positivevibesonly #nature #yoda #nasa #style #university #scifi #positivethinking #selfie #gym #philosophy #food #rituals  #smile #beauty #indigo https://t.co/w0Np1xMdEq,"{'username': '007_skywalker', 'id': 1176810689115164672, 'displayname': 'Skywalker 007', 'description': 'From the depth of simplicity and beyond.', 'rawDescription': 'From the depth of simplicity and beyond.', 'descriptionUrls': None, 'verified': False, 'created': datetime.datetime(2019, 9, 25, 10, 48, 45, tzinfo=datetime.timezone.utc), 'followersCount': 36, 'friendsCount': 62, 'statusesCount': 3704, 'favouritesCount': 714, 'listedCount': 2, 'mediaCount': 3302, 'location': 'Wiesbaden, Germany', 'protected': False, 'linkUrl': 'http://www.soundcloud.com/BasementpoliticsofUBC', 'linkTcourl': 'https://t.co/BSW8mNgr4B', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1341714664976224257/8MLx_kXr_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/1176810689115164672/1608724679', 'label': None}",1,0,1,0,qme,"['love', 'school', 'fashion', 'photooftheday', 'beautiful', 'art', 'lightworkers', 'college', 'starseeds', 'goodvibes', 'startrek', 'lightwork', 'starwars', 'positivevibesonly', 'nature', 'yoda', 'nasa', 'style', 'university', 'scifi', 'positivethinking', 'selfie', 'gym', 'philosophy', 'food', 'rituals', 'smile', 'beauty', 'indigo']"
"Cannoncini salati di sfoglia al salmone, sfizioso antipasto che renderà le vostre tavole eleganti e appetitose, ricetta facile da realizzare. #food #yummy #delicious #homemade #rusticisfoglia #cucina #foodblog #yum #igers #foodpassion #cannoncinisalati https://t.co/6qJYZeurcm https://t.co/TDzrX1uO6n","{'username': 'Melizieincucina', 'id': 1185087605815365632, 'displayname': 'Melizie in Cucina', 'description': 'Adoro cucinare e sperimentare. Un viaggio tra tradizioni siciliane e nuove ricette. Per collaborazioni contattami su melizieincucina@gmail.com', 'rawDescription': 'Adoro cucinare e sperimentare. Un viaggio tra tradizioni siciliane e nuove ricette. Per collaborazioni contattami su melizieincucina@gmail.com', 'descriptionUrls': None, 'verified': False, 'created': datetime.datetime(2019, 10, 18, 6, 58, 16, tzinfo=datetime.timezone.utc), 'followersCount': 703, 'friendsCount': 266, 'statusesCount': 10653, 'favouritesCount': 352, 'listedCount': 6, 'mediaCount': 10627, 'location': 'Catania- Italy', 'protected': False, 'linkUrl': 'https://www.melizieincucina.it/', 'linkTcourl': 'https://t.co/YSBzVWLVPO', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1185255549899808769/sZorVNt0_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/1185087605815365632/1622483990', 'label': None}",0,0,0,0,it,"['food', 'yummy', 'delicious', 'homemade', 'rusticisfoglia', 'cucina', 'foodblog', 'yum', 'igers', 'foodpassion', 'cannoncinisalati']"
"Bei uns im Wenkers heißt das Menü „Die Platte“. Drauf sind sechs kleine Schnitzel, verschiedene Saucen, Grillgemüse, Bratkartoffeln und knackige Brauhausfritten. Genau das richtige, um sich zu zweit mal so richtig satt zu essen 😋

#wenkers #brauhaus #schnitzel #dortmund #food https://t.co/ckxKv6Io2B","{'username': 'WenkersBrauhaus', 'id': 854685251985170432, 'displayname': 'Wenkers Brauhaus', 'description': 'Wenkers am Markt · Stammhaus der Dortmunder Kronen #InBeerWeTrust', 'rawDescription': 'Wenkers am Markt · Stammhaus der Dortmunder Kronen #InBeerWeTrust', 'descriptionUrls': None, 'verified': False, 'created': datetime.datetime(2017, 4, 19, 13, 16, 58, tzinfo=datetime.timezone.utc), 'followersCount': 132, 'friendsCount': 28, 'statusesCount': 553, 'favouritesCount': 2157, 'listedCount': 0, 'mediaCount': 540, 'location': 'Dortmund, Deutschland', 'protected': False, 'linkUrl': 'http://www.wenkers.de', 'linkTcourl': 'https://t.co/giOm0I2o6T', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/854688715725307904/cxuK44ix_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/854685251985170432/1665493119', 'label': None}",0,0,5,0,de,"['wenkers', 'brauhaus', 'schnitzel', 'dortmund', 'food']"
"""Singkong is the key""

Setelah ini akan banyak program juga produk untuk support singkong.

Are you ready?  
#cassava #food https://t.co/TKM6bCXGhT","{'username': 'rouppme', 'id': 902919964301996032, 'displayname': 'Roup', 'description': 'Ebook Gratis Revolusi Peningkatan Produktivitas Padi Sawah download link di bawah🚀🚀', 'rawDescription': 'Ebook Gratis Revolusi Peningkatan Produktivitas Padi Sawah download link di bawah🚀🚀', 'descriptionUrls': None, 'verified': False, 'created': datetime.datetime(2017, 8, 30, 15, 44, 29, tzinfo=datetime.timezone.utc), 'followersCount': 29, 'friendsCount': 513, 'statusesCount': 212, 'favouritesCount': 441, 'listedCount': 1, 'mediaCount': 10, 'location': 'Jakarta', 'protected': False, 'linkUrl': 'https://bit.ly/3zBufUS', 'linkTcourl': 'https://t.co/10GoeuGzGg', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1543467795199176704/1JaqsBEW_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/902919964301996032/1659780367', 'label': None}",0,0,0,0,in,"['cassava', 'food']"
Easy DIY Not So Scary #Halloween Themed #Dinner That Your Kids Will Love https://t.co/JXDiJcZDdZ #food,"{'username': 'UsLivingLife', 'id': 866442150573158401, 'displayname': 'Us Living Life', 'description': 'See where we go, what we eat and what we do. You now have limited stalking rights!', 'rawDescription': 'See where we go, what we eat and what we do. You now have limited stalking rights!', 'descriptionUrls': None, 'verified': False, 'created': datetime.datetime(2017, 5, 21, 23, 54, 41, tzinfo=datetime.timezone.utc), 'followersCount': 5954, 'friendsCount': 4103, 'statusesCount': 29233, 'favouritesCount': 385, 'listedCount': 19, 'mediaCount': 394, 'location': 'Oklahoma, USA', 'protected': False, 'linkUrl': 'https://www.uslivinglife.com/', 'linkTcourl': 'https://t.co/j7BdiBa23Y', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1218259754549678080/ndoPyHNr_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/866442150573158401/1579290983', 'label': None}",0,0,0,0,en,"['Halloween', 'Dinner', 'food']"
"China will continue to work with all countries in a spirit of solidarity &amp; shared future to advance the #GlobalDevelopmentInitiative, scale up co'op on #food security &amp; #poverty reduction, &amp; make a greater contribution to the speedy implementation of the UN 2030 Agenda. https://t.co/wy2HTxDQZC","{'username': 'CGMeifangZhang', 'id': 1222894323152195586, 'displayname': 'Zhang Meifang张美芳', 'description': 'Consul General of China in Belfast; \nFMR Deputy Consul General in NYC\n\nCGMeifangZhang on TikTok @cgmeifangzhang', 'rawDescription': 'Consul General of China in Belfast; \nFMR Deputy Consul General in NYC\n\nCGMeifangZhang on TikTok @cgmeifangzhang', 'descriptionUrls': None, 'verified': True, 'created': datetime.datetime(2020, 1, 30, 14, 48, 52, tzinfo=datetime.timezone.utc), 'followersCount': 119487, 'friendsCount': 1365, 'statusesCount': 41792, 'favouritesCount': 4110, 'listedCount': 449, 'mediaCount': 19965, 'location': '75-77 Malone Road, Belfast', 'protected': False, 'linkUrl': 'http://belfast.chineseconsulate.org/chn/', 'linkTcourl': 'https://t.co/AExd3pPWXY', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1452391050547548161/ImPVIpuX_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/1222894323152195586/1582620697', 'label': {'description': 'China government official', 'url': 'https://help.twitter.com/rules-and-policies/state-affiliated-china', 'badgeUrl': 'https://pbs.twimg.com/semantic_core_img/1290392753013002240/mWq1iE5L?format=png&name=orig', 'longDescription': None}}",0,5,5,0,en,"['GlobalDevelopmentInitiative', 'food', 'poverty']"
Brew House Downtown - #crowdfund campaign needs your support #food #Toledo https://t.co/mlLtIkX9yz,"{'username': 'CrowdfundCentre', 'id': 1384403300, 'displayname': 'Crowdfunding Center', 'description': '#Crowdfunding services to help you BUILD a better, more successful campaign + BOOST existing campaigns by reaching out to a new, already interested, audience.', 'rawDescription': '#Crowdfunding services to help you BUILD a better, more successful campaign + BOOST existing campaigns by reaching out to a new, already interested, audience.', 'descriptionUrls': None, 'verified': False, 'created': datetime.datetime(2013, 4, 27, 13, 0, 45, tzinfo=datetime.timezone.utc), 'followersCount': 24603, 'friendsCount': 17709, 'statusesCount': 327020, 'favouritesCount': 678, 'listedCount': 1020, 'mediaCount': 84670, 'location': '', 'protected': False, 'linkUrl': 'http://www.thecrowdfundingcenter.com', 'linkTcourl': 'https://t.co/60qZIlLSkn', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/718208984356941824/ynXcAy9E_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/1384403300/1460763671', 'label': None}",1,0,0,0,en,"['crowdfund', 'food', 'Toledo']"
